pep_id,Author,BDFL-Delegate,Created,Created_dt,Discussions-To,Last-Modified,PEP,Post-History,Python-Version,Replaces,Requires,Resolution,Sponsor,Status,Superseded-By,Title,Type,Version
0384,Martin v. Löwis <martin at v.loewis.de>,,17-May-2009,2009-05-17 00:00:00,,,384,,3.2,,,,,Final,,Defining a Stable ABI,Standards Track,
0301,Richard Jones <richard at python.org>,,24-Oct-2002,2002-10-24 00:00:00,,,301,8-Nov-2002,2.3,,,,,Final,,Package Index and Metadata for Distutils,Standards Track,
0441,"Daniel Holth <dholth at gmail.com>,
Paul Moore <p.f.moore at gmail.com>",,30 March 2013,2013-03-30 00:00:00,https//mail.python.org/pipermail/python-dev/2015-February/138277.html,,441,"30 March 2013, 1 April 2013, 16 February 2015",,,,https//mail.python.org/pipermail/python-dev/2015-February/138578.html,,Final,,Improving Python ZIP Application Support,Standards Track,
3144,Peter Moody <pmoody at google.com>,Nick Coghlan,6-Feb-2012,2012-02-06 00:00:00,<ipaddr-py-dev at googlegroups.com>,,3144,,3.3,,,https//mail.python.org/pipermail/python-dev/2012-May/119474.html,,Final,,IP Address Manipulation Library for the Python Standard Library,Standards Track,
0503,Donald Stufft <donald at stufft.io>,Donald Stufft <donald at stufft.io>,04-Sep-2015,2015-09-04 00:00:00,distutils-sig at python.org,,503,04-Sep-2015,,,,https//mail.python.org/pipermail/distutils-sig/2015-September/026899.html,,Accepted,,Simple Repository API,Informational,
0370,Christian Heimes <christian at python.org>,,11-Jan-2008,2008-01-11 00:00:00,,,370,,"2.6, 3.0",,,,,Final,,Per user site-packages directory,Standards Track,
0266,skip at pobox.com (Skip Montanaro),,13-Aug-2001,2001-08-13 00:00:00,,,266,,2.3,,,,,Withdrawn,,Optimizing Global Variable/Attribute Access,Standards Track,
0467,"Nick Coghlan <ncoghlan at gmail.com>, Ethan Furman <ethan at stoneleaf.us>",,2014-03-30,2014-03-30 00:00:00,,,467,2014-03-30 2014-08-15 2014-08-16 2016-06-07 2016-09-01,3.8,,,,,Draft,,Minor API improvements for binary sequences,Standards Track,
3129,Collin Winter <collinwinter at google.com>,,1-May-2007,2007-05-01 00:00:00,,,3129,7-May-2007,3.0,,,,,Final,,Class Decorators,Standards Track,
0391,Vinay Sajip <vinay_sajip at red-dove.com>,,15-Oct-2009,2009-10-15 00:00:00,,,391,,"2.7, 3.2",,,,,Final,,Dictionary-Based Configuration For Logging,Standards Track,
0496,James Polley <jp at jamezpolley.com>,Nick Coghlan <ncoghlan at gmail.com>,03-Jul-2015,2015-07-03 00:00:00,,,496,,,,,,,Rejected,,Environment Markers,Informational,
